"","x"
"135",0.470054938458695
"136",0.470869203026017
"137",0.471505018856279
"138",0.47223048033033
"139",0.475164807132669
"140",0.475307063823394
"141",0.476590062992259
"142",0.484902566262368
"143",0.485360570752997
"144",0.486740676873337
"145",0.489187520784981
"146",0.490181501760207
"147",0.492143988459956
"148",0.493511538441268
"149",0.495923562981997
"150",0.496120859164797
"151",0.505356095495286
"152",0.506390746923847
"153",0.512608998045964
"154",0.513114518122828
"155",0.515374399595771
"156",0.516233731486001
"157",0.51765286650806
"158",0.518312576760317
"159",0.518531360644857
"160",0.519314755403591
"161",0.519947666646857
"162",0.523291536226648
"163",0.525149090989802
"164",0.526035207964739
"165",0.530811687531509
"166",0.532315653360944
"167",0.532710284857731
"168",0.533358780674712
"169",0.534201188966068
"170",0.535942434114279
"171",0.535957510280126
"172",0.536437945149306
"173",0.537685688857388
"174",0.538578656006002
"175",0.539055322936843
"176",0.539225817877989
"177",0.539241398658608
"178",0.541495965888273
"179",0.544873834465278
"180",0.550378891261564
"181",0.550669044664061
"182",0.551371804239531
"183",0.553874212359484
"184",0.554595308150737
"185",0.556266782897077
"186",0.561035679365604
"187",0.563261348843747
"188",0.564097408946055
"189",0.56554117293362
"190",0.56556031483939
"191",0.568722692059882
"192",0.571802389851254
"193",0.572076519015347
"194",0.576429157914435
"195",0.580253371431129
"196",0.583595653651457
"197",0.584922785268594
"198",0.585273122460744
"199",0.586866820488568
"200",0.587601573715077
"201",0.591439593637519
"202",0.593752330104124
"203",0.594575565457549
"204",0.59507350332086
"205",0.599300625098684
"206",0.602662134391535
"207",0.603842108871533
"208",0.605152458592695
"209",0.611347149306342
"210",0.613419437804648
"211",0.613740705831527
"212",0.614283263164836
"213",0.615623489340207
"214",0.617728647526123
"215",0.618116537460811
"216",0.620053174210543
"217",0.622062137203024
"218",0.625091754026859
"219",0.632785031846404
"220",0.633392598342705
"221",0.636633973246092
"222",0.650802059228196
"223",0.650813940730792
"224",0.651264165658121
"225",0.656258198530393
"226",0.657821168591559
"227",0.661466801062289
"228",0.664419481255914
"229",0.66643199249096
"230",0.666568617951861
"231",0.668296705429762
"232",0.67093033487078
"233",0.672640860410471
"234",0.672669034873395
"235",0.676408297319392
"236",0.678503279069159
"237",0.679163964494379
"238",0.681224705245282
"239",0.683115879345194
"240",0.686469286065409
"241",0.68824158180119
"242",0.688836079456594
"243",0.692482875738451
"244",0.693518485891051
"245",0.694283040288848
"246",0.696220330501983
"247",0.697160761675074
"248",0.698264605562478
"249",0.707235932424547
"250",0.717422656424895
"251",0.722149693037599
"252",0.723894151207977
"253",0.72500738199887
"254",0.727258238403795
"255",0.730976854797633
"256",0.733737009058553
"257",0.735513526758756
"258",0.747098854954633
"259",0.750284584165292
"260",0.752043186720416
"261",0.753618396643173
"262",0.755940191293528
"263",0.757563922381019
"264",0.758762619274942
"265",0.761667230896178
"266",0.763632262905428
"267",0.766052893488481
"268",0.768727990139491
"269",0.773319706882695
"270",0.777287118149784
"271",0.778698139842711
"272",0.782284328131259
"273",0.783004250811031
"274",0.785157004271011
"275",0.785442143163207
"276",0.786590032715946
"277",0.789112117872151
"278",0.789268497105058
"279",0.789329301416122
"280",0.80609757977169
"281",0.814874806662253
"282",0.825216845587954
"283",0.83226083349463
"284",0.836974615107043
"285",0.837126596964428
"286",0.839189137785284
"287",0.84012206875979
"288",0.846620950590837
"289",0.853737513789453
"290",0.855184525824868
"291",0.858702662493813
"292",0.87706358177473
"293",0.894234980690169
"294",0.895800034032764
"295",0.907395487156931
"296",0.923099436547817
"297",0.924536690656958
"298",0.929927088805587
"299",0.935984073626968
"300",0.984018084628838
